Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching,skin rash,nodal skin eruptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis B,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections,0,0,0,0,0,0
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,0,0,0,0,0,0,0,0,0,0,0,0,0
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,0,0,0,0,0,0
Varicose veins,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,0,0,0,0,0,0,0,0,0,0,0
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,0,0,0
Fungal infection,itching,skin rash,nodal skin eruptions,dischromic  patches,0,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,vomiting,nausea,spinning movements,loss of balance,unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,0,0,0,0,0,0,0,0,0,0,0
Allergy,continuous sneezing,shivering,chills,watering from eyes,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,0,0,0,0,0,0,0,0,0,0
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,0,0,0,0,0,0
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections,0,0,0,0,0
Osteoarthristis,joint pain,neck pain,knee pain,swelling joints,painful walking,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,vomiting,breathlessness,sweating,chest pain,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,0,0,0,0,0,0,0,0,0,0
Malaria,chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,0,0,0,0,0,0,0,0,0
Heart attack,breathlessness,sweating,chest pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes,0,0,0,0,0,0,0,0,0,0,0
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,0,0,0,0,0,0,0,0
Dengue,skin rash,chills,joint pain,vomiting,fatigue,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,0,0,0,0
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,0,0,0,0,0,0,0,0,0,0
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,0,0,0,0,0,0,0,0,0,0,0
Hypertension,headache,chest pain,dizziness,loss of balance,lack of concentration,0,0,0,0,0,0,0,0,0,0,0,0
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,altered sensorium,0,0,0,0,0,0,0,0,0,0,0,0,0
hepatitis A,joint pain,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,0,0,0,0,0,0,0
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,0,0,0,0,0,0
Gastroenteritis,sunken eyes,dehydration,diarrhoea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation,0,0,0,0
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,0,0,0,0,0,0,0,0,0,0,0
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,0,0,0,0,0,0,0,0,0,0,0,0
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain,0,0,0,0,0,0
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,chest pain,fast heart rate,rusty sputum,0,0,0,0,0,0,0
Psoriasis,skin rash,joint pain,skin peeling,small dents in nails,inflammatory nails,0,0,0,0,0,0,0,0,0,0,0,0
Drug Reaction,itching,skin rash,stomach pain,burning micturition,spotting  urination,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucoid sputum,0,0,0,0,0,0,0,0,0,0,0
Diabetes,fatigue,weight loss,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,0,0,0,0,0,0,0,0
Arthritis,muscle weakness,stiff neck,swelling joints,painful walking,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain,0
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,0,0,0,0,0,0,0,0,0,0,0
Allergy,continuous sneezing,shivering,watering from eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,0,0,0,0,0,0,0,0,0,0
Paralysis (brain hemorrhage),vomiting,headache,altered sensorium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,chills,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum,0,0
Tuberculosis,chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum,0
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,0,0,0,0,0,0,0,0,0,0
Paralysis (brain hemorrhage),headache,weakness of one body side,altered sensorium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,vomiting,breathlessness,sweating,chest pain,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections,0,0,0,0,0,0
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding,0,0,0,0
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,0,0,0
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,0,0,0,0,0,0,0,0,0,0,0,0
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,0,0,0,0,0,0,0,0,0,0,0,0
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,vomiting,breathlessness,sweating,chest pain,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Cold,continuous sneezing,chills,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain,0
Common Cold,continuous sneezing,chills,fatigue,cough,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain,0
Drug Reaction,itching,skin rash,stomach pain,burning micturition,spotting  urination,0,0,0,0,0,0,0,0,0,0,0,0
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,unsteadiness,0,0,0,0,0,0,0,0,0,0,0,0
Hypothyroidism,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation,0,0,0,0,0
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),pain during bowel movements,pain in anal region,bloody stool,irritation in anus,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations,0,0,0,0,0
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation,0,0,0,0
Arthritis,muscle weakness,stiff neck,movement stiffness,painful walking,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaria,chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,0,0,0,0,0,0,0,0,0
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain,0,0,0,0,0,0
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation,0,0,0,0
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,0,0,0,0,0,0,0,0,0,0,0,0
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,0,0,0,0,0,0,0,0
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,0,0,0,0,0,0,0,0,0,0,0,0
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum,0,0,0,0,0,0
AIDS,muscle wasting,high fever,extra marital contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain,0,0,0,0,0,0
Hyperthyroidism,fatigue,mood swings,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation,0,0,0,0,0,0,0
hepatitis A,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,0,0,0,0,0,0,0
Psoriasis,skin rash,joint pain,silver like dusting,small dents in nails,inflammatory nails,0,0,0,0,0,0,0,0,0,0,0,0
Hyperthyroidism,fatigue,mood swings,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation,0,0,0,0,0,0,0
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucoid sputum,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum,0,0
Diabetes,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,0,0,0,0,0,0,0
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,0,0,0,0,0,0,0,0,0,0,0
GERD,acidity,ulcers on tongue,vomiting,cough,chest pain,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,0,0,0,0
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding,0,0,0,0
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,0,0,0,0,0,0
Fungal infection,itching,nodal skin eruptions,dischromic  patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,0,0,0
Hepatitis B,itching,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections,0,0,0,0,0,0
Drug Reaction,itching,skin rash,stomach pain,burning micturition,spotting  urination,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,skin rash,nodal skin eruptions,dischromic  patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis,chills,vomiting,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum,0,0
Bronchial Asthma,cough,high fever,breathlessness,family history,mucoid sputum,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding,0,0,0,0
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,0,0,0,0,0,0,0,0,0,0,0
Hepatitis B,itching,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections,0,0,0,0,0,0
Hypertension,headache,chest pain,dizziness,loss of balance,lack of concentration,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthristis,neck pain,knee pain,hip joint pain,swelling joints,painful walking,0,0,0,0,0,0,0,0,0,0,0,0
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,0,0,0,0,0,0,0,0,0,0,0
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,altered sensorium,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,itching,skin rash,dischromic  patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,0,0,0,0,0,0,0,0,0,0,0
AIDS,muscle wasting,patches in throat,high fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations,0,0,0,0,0,0
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,fatigue,cough,high fever,family history,mucoid sputum,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis C,fatigue,yellowish skin,loss of appetite,yellowing of eyes,family history,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,0,0,0,0,0,0,0,0,0,0,0,0
Fungal infection,skin rash,nodal skin eruptions,dischromic  patches,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,0,0,0,0,0,0
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding,0,0,0,0
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,0,0,0,0,0,0,0,0
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,0,0,0,0,0,0,0,0,0,0,0,0,0
Migraine,acidity,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,0,0,0,0,0,0,0,0,0
Hypertension,headache,chest pain,loss of balance,lack of concentration,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,muscle wasting,high fever,extra marital contacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,cough,high fever,breathlessness,family history,mucoid sputum,0,0,0,0,0,0,0,0,0,0,0,0
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),0,0,0,0,0,0,0
Dengue,skin rash,chills,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,0,0,0,0
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,0,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections,0,0,0,0,0,0
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,0,0,0,0,0,0,0,0
